,chapterNo,chapterTitle,sectionNo,SentenceNo,sectionTitle,sentence,Person,Location,common
0,1,PART 1,1,1,Power and Magnificence of Kublai,"Now I am to give you a wonderful account of the greatest king of the Tartars|s, still reigning, named Kublai, or lord of lords.",Kublai,,Tartars
1,1,PART 1,1,2,Power and Magnificence of Kublai,"That name is assuredly well merited, since he is the most powerful in people, in lands, and in treasure, that is, or ever was, from the creation of Adam to the present day ; ",Adam,,Adam
2,1,PART 1,1,3,Power and Magnificence of Kublai,"Whosoever descends in the direct line from Gengis is entitled to be master of all the Tartars, and Kublai is the sixth great khan.","Gengis,Kublai",,"Gengis,Tartars"
3,1,PART 1,1,4,Power and Magnificence of Kublai,"He began to reign in the year of our Lord 1256,and maintained the dominion by his valour, address, and wisdom.",,,Lord
4,1,PART 1,1,5,Power and Magnificence of Kublai,"His brothers sought to oppose his succession, but by bravery and right he triumphed over them.",,,
5,1,PART 1,1,6,Power and Magnificence of Kublai,"From the beginning of his reign, forty-two years have elapsed to the present day, in the year 1298.",,,
6,1,PART 1,1,7,Power and Magnificence of Kublai,"He is now full eighty-five years old, and before his accession commanded many armies, when he approved himself good at weapons, and a brave captain.",,,
7,1,PART 1,1,8,Power and Magnificence of Kublai,"But since that time he has joined the army only once, which was in the year 1286, and I will tell you on what occasion.",,,
8,1,PART 1,2,9,Insurrection raised by Nayan,"You must understand that a certain cousin of his, named Nayan, who, like his ancestors, was his vassal, yet had many lands and provinces of his own, and could raise 400,000 horsemen, being thirty years old,refused to remain longer in subjection, and assumed the whole sovereignty to himself.",Nayan,,Nayan
9,1,PART 1,2,10,Insurrection raised by Nayan,"He sent to a certain great lord, named Kaidu, a nephew of that monarch, but in rebellion against him, and desirous of doing him the greatest injury.",Kaidu,,Kaidu
10,1,PART 1,2,11,Insurrection raised by Nayan,"To him Nayan proposed to attack the monarch on one side, while he himself advanced on another, so that they might acquire the dominion over his whole territory.",Nayan,,Nayan
11,1,PART 1,2,12,Insurrection raised by Nayan,"Kaidu declared himself well pleased, and promised to be ready at the time appointed.",Kaidu,,Kaidu
12,1,PART 1,2,13,Insurrection raised by Nayan,"He could bring into the field 100,000 cavalry ; ",,,
13,1,PART 1,2,14,Insurrection raised by Nayan,"and those two assembled a mighty army on horseback and foot, and marched against the great khan.",khan,,
14,1,PART 1,3,15,Kublai prepares to meet him,"When Kublai learned these things, he was not at all alarmed, but declared, that he wished he might never wear a crown, nor hold sway over a kingdom, if he did not bring the traitors to an evil death.",Kublai,,
15,1,PART 1,3,16,Kublai prepares to meet him,"He therefore made his whole army be prepared in twenty-two days, and so secretly, that nothing was known beyond his own council.",,,
16,1,PART 1,3,17,Kublai prepares to meet him,"He raised full 360,000 mounted soldiers, and 100,000 infantry ;",,,
17,1,PART 1,3,18,Kublai prepares to meet him,"and the reason of their number not being greater, was, that they consisted only of his huntsmen, and those immediately round his person, the rest being employed in carrying on distant wars ;",,,
18,1,PART 1,3,19,Kublai prepares to meet him," for if he could have assembled his whole host, the multitude would have been such as no man could have numbered.",,,
19,1,PART 1,3,20,Kublai prepares to meet him,"He then called his astrologers, and asked of them if he would be victorious ; ",,,
20,1,PART 1,3,21,Kublai prepares to meet him,"they answered, that he would do to his enemies according to his pleasure.",,,
21,1,PART 1,4,22,Description of the Battle,"The great khan having assembled these forces, took his departure, and in twenty days came to a vast plain, where Nayan had assembled all his troops, amounting to 400,000 warriors.","Khan,Nayan",,Nayan
22,1,PART 1,4,23,Description of the Battle,"The khan took much care to scour the paths, and intercept all who could have carried the intelligence ; ",khan,,
23,1,PART 1,4,24,Description of the Battle,"so that when he approached at dawn of day, the rebel was lying asleep in bed with a favourite wife, not having the least dread of his arrival, and, consequently, no guard on any side of the camp.",,,
24,1,PART 1,4,25,Description of the Battle,"Kublai then advanced, having a tower fixed upon four elephants, whereon were placed his ensigns, so that he could be seen by the whole army.",Kublai,,
25,1,PART 1,4,26,Description of the Battle,"His men, divided into bands of twenty thousand, surrounded in a moment the adverse force, each soldier having a footman on the crupper behind him, with a bow in his hand.",,,
26,1,PART 1,4,27,Description of the Battle,"When Nayan and his men saw their camp thus encircled by the khan and his host, they were seized with amaze ; ",Nayan,,Nayan
27,1,PART 1,4,28,Description of the Battle,"yet they ran to arms, formed themselves in order of battle, and were soon prepared to strike.",,,
28,1,PART 1,4,29,Description of the Battle,"Then began the beating on many instruments, and singing with loud voices;",,,
29,1,PART 1,4,30,Description of the Battle," for it is the custom of the Tartars, that until the horn termed naccar is winded the troops do not engage.",,,Tartars
30,1,PART 1,4,31,Description of the Battle,"But when that grand trumpet of the great khan was sounded, all the other performers began playing, and raising their voices very loud, making a noise that was truly most wonderful.",khan,,
31,1,PART 1,4,32,Description of the Battle,"Then the two armies rushed against each other with sword, spear, and lance, while the footmen were prepared with bow and quiver.",,,
32,1,PART 1,4,33,Description of the Battle,The battle was fierce and cruel; ,,,
33,1,PART 1,4,34,Description of the Battle,the arrows filled the air like rain ; ,,,
34,1,PART 1,4,35,Description of the Battle,horses and horsemen were seen falling to the ground; ,,,
35,1,PART 1,4,36,Description of the Battle,"and the tumult was such, that if Jove had thundered, he could not have been heard.",Jove,,
36,1,PART 1,4,37,Description of the Battle,"Nayan was a baptized Christian, and therefore had the cross upon his standard.",Nayan,,"Nayan,Christian"
37,1,PART 1,4,38,Description of the Battle,"Never, in our day, was there so hard and terrible a combat, nor so many assembled on one field, especially of horsemen ;",,,
38,1,PART 1,4,39,Description of the Battle, and the number who fell on both sides was fearful to behold.,,,
39,1,PART 1,4,40,Description of the Battle,The battle continued from nine in the morning till midday ; ,,,
40,1,PART 1,4,41,Description of the Battle,but the great khan at last remained master of the field.,khan,,
41,1,PART 1,4,42,Description of the Battle,"When Nayan and his men saw that they could hold out no longer, they betook themselves to flight ; ",Nayan,,Nayan
42,1,PART 1,4,43,Description of the Battle,but it availed them nothing; ,,,
43,1,PART 1,4,44,Description of the Battle,"he was taken, and all his troops surrendered.",,,
44,1,PART 1,5,45,The Death of Nayan,"When that great monarch heard that Nayan was taken, he ordered him to be put to death in the manner I am now to tell you.",Nayan,,Nayan
45,1,PART 1,5,46,The Death of Nayan,"He was wrapped in a carpet, and violently tossed to and fro till he died.",,,
46,1,PART 1,5,47,The Death of Nayan,"This mode was adopted, that, being of imperial lineage, his blood might not be shed on the ground, nor his cries ascend into the air.",,,
47,1,PART 1,5,48,The Death of Nayan,"When that battle was gained, four of his provinces paid tribute and homage to the great khan.",khan,,
48,1,PART 1,5,49,The Death of Nayan,"These were Cicorcia, Cauli, Bastol, and Suchintin.",,"Cicorcia, Cauli, Bastol,Suchintin",
49,1,PART 1,6,50,Kublai silences the Mockery of the Jews and Saracens,"When themonarch had achieved this triumph, the Saracens, Pagans, Jews, and other generations of men who believe not in God, expressed wonder at the cross which the vanquished leader had carried on his standard, and said in derision of the Christians,-""see how the cross of your God has aided Nayan and his people.""",Nayan,,"Saracens,Jews,Christians,Nayan"
50,1,PART 1,6,51,Kublai silences the Mockery of the Jews and Saracens,"They made such a noise on this subject, that it came to the ears of the prince, who was much displeased, and sending for the Christians, said to them,-""if your God did not assist Nayan, he acted with great justice, because he is a good and righteous God. Nayan was a traitor and rebel against his lord, and therefore God did well in not assisting himù.""","Nayan,Nayan",,"Christians,Nayan,Nayan"
51,1,PART 1,6,52,Kublai silences the Mockery of the Jews and Saracens,"Then the Christians replied,-""O, great sire! thou hast spoken the truth, for the cross will aid nothing unjust, and he met only what he well deserved.""",,,Christians
52,1,PART 1,6,53,Kublai silences the Mockery of the Jews and Saracens,"Having gained this victory, the great khan returned to his capital, Kambalu, with much festival and rejoicing.",khan ,Kambalu,Kambalu
53,1,PART 1,6,54,Kublai silences the Mockery of the Jews and Saracens,"When the other king, named Kaidu, heard how his ally had been worsted, he was struck with fear, and did not attempt to lead his army against the monarch.",Kaidu,,Kaidu
54,1,PART 1,6,55,Kublai silences the Mockery of the Jews and Saracens,"Now you have seen how that prince went to battle,and for what cause, while on all other occasions he sent his son and his barons;",,,
55,1,PART 1,6,56,Kublai silences the Mockery of the Jews and Saracens,but this war was of such magnitude that it seemed to deserve his own immediate presence. ,,,
56,1,PART 1,7,57,His Opinions as to the Christian Religion,"The grand khan, having obtained this splendid victory, returned with great pomp and triumph to his capital of Kambalu.",khan,Kambalu,Kambalu
57,1,PART 1,7,58,His Opinions as to the Christian Religion,"He arrived there in November, and remained till after March, in which month our festival of Easter occurred.",,,
58,1,PART 1,7,59,His Opinions as to the Christian Religion,"Aware that this was one of our most solemn periods, he commanded all the Christians to attend him, bringing with them their book containing the four gospels.",,,Christians
59,1,PART 1,7,60,His Opinions as to the Christian Religion,"He caused it, in a very respectful manner, to be repeatedly perfumed with incense, ordering all his nobles present to do the same.",,,
60,1,PART 1,7,61,His Opinions as to the Christian Religion,Such was the custom upon each of the two great festivals of Easter and Christmas; ,,,
61,1,PART 1,7,62,His Opinions as to the Christian Religion,"and he followed the same course as that pursued by the Saracens, Jews, and idolaters.",,,"Saracens,Jews"
62,1,PART 1,7,63,His Opinions as to the Christian Religion,"Being asked the reason of this conduct, he replied,-""there are four great prophets revered and worshipped by different classes of mankind. The Christians hold Christ as their divinity ; the Saracens, Mohammed ; the Jews, Moses; and the idolaters, Sogomombar Khan, their most distinguished idol. I honour and respect all the four, and seek aid from them, as any one of them may really be supreme in heavenù.""","Christ,Mohammed,Moses,Sogomombar Khan",,"Christians,Saracens,Mohammed,Jews"
63,1,PART 1,7,64,His Opinions as to the Christian Religion,"Yet, from the behaviour of his majesty towards the Christians, he evidently believed their faith the best and truest ; ",,,Christians
64,1,PART 1,7,65,His Opinions as to the Christian Religion,"observing, that it enjoined nothing on its professors that was not full of virtue and holiness.",,,
65,1,PART 1,7,66,His Opinions as to the Christian Religion,"He would not indeed allow the cross to be borne before them in processions, because, as he said, on it so exalted a person had been nailed and put to death.",,,
66,1,PART 1,7,67,His Opinions as to the Christian Religion,"Some may ask, why if thus partial to the true faith, he did not openly embrace it?",,,
67,1,PART 1,7,68,His Opinions as to the Christian Religion,"He stated his reason to Nicolo and Maffio Polo, when, on his sending them ambassadors to the Pope, they ventured to address to him a few words on the subject.","Nicolo,Maffio Polo",,Polo
68,1,PART 1,7,69,His Opinions as to the Christian Religion,""" Why,ù ""said he, ""should I become a Christian?""",,,Christian
69,1,PART 1,7,70,His Opinions as to the Christian Religion,"You must yourselves see that the professors of that faith now in this country are ignorant and weak, unable to do any thing extraordinary, while the idolaters have power to do whatever they please.",,,
70,1,PART 1,7,71,His Opinions as to the Christian Religion,"While I am seated at table, the cups, filled with wine or other beverage, come to me from the middle of the hall spontaneously, without being touched by any human hand.",,,
71,1,PART 1,7,72,His Opinions as to the Christian Religion,"They are able to control bad weather, and force it to retire to any quarter of the heavens; ",,,
72,1,PART 1,7,73,His Opinions as to the Christian Religion,they can perform other wonderful things of the same nature.,,,
73,1,PART 1,7,74,His Opinions as to the Christian Religion,"You have witnessed their idols exercising the faculty of speech, and predicting whatever events are inquired into.",,,
74,1,PART 1,7,75,His Opinions as to the Christian Religion,"Should I become a convert and profess Christianity, the nobles of my court, and others disinclined to the faith, will ask what adequate motives have induced me to be baptized.",,,Christianity
75,1,PART 1,7,76,His Opinions as to the Christian Religion,"What wonders, what miracles, they will say, have its ministers performed?",,,
76,1,PART 1,7,77,His Opinions as to the Christian Religion,"But the idolaters declare, that their exhibitions are made through their own holiness and the might of their idols.",,,
77,1,PART 1,7,78,His Opinions as to the Christian Religion,"To this I shall be unable to make any answer, and be considered as labouring under a grievous mistake, while the heathen teachers, by the profound art which they display, may easily accomplish my death.",,,
78,1,PART 1,7,79,His Opinions as to the Christian Religion,"Return, however, to your pontiff, and present to him my request, that he would send a hundred persons learned in your law, who, when confronted with the others, will be able to control them, and while proving themselves endowed with similar skill, shall render their antagonists unable in their presence to carry on these practices.",,,
79,1,PART 1,7,80,His Opinions as to the Christian Religion,"On witnessing this, I will interdict the exercise of their religion, and suffer myself to be baptized.",,,
80,1,PART 1,7,81,His Opinions as to the Christian Religion,"This example will be followed by all my nobility, and by my subjects in general ;",,,
81,1,PART 1,7,82,His Opinions as to the Christian Religion, so that the Christians in these regions will become more numerous than those inhabiting your own countryù.,,,Christians
82,1,PART 1,7,83,His Opinions as to the Christian Religion,"From this language it evidently appears that had the pope sent out persons duly qualified to preach the gospel, the great khan would have embraced that faith, for which he certainly entertained a strong predilection.",khan,,
83,1,PART 1,8,84,Rewards bestowed on his Soldiers,"Now let us tell of the officers and barons of the great khan, and how he rewarded those who fought with him in the battle against Nayan.","Khan,Nayan",,Nayan
84,1,PART 1,8,85,Rewards bestowed on his Soldiers,"To those who commanded 100 men, he gave the command of 1000, and to those of 1000 that of 10,000 ; ",,,
85,1,PART 1,8,86,Rewards bestowed on his Soldiers,"and he bestowed, according to their rank, tablets of gold or of silver, on all of which was written,-""By the might of the great God, and by the favour which he gave to our emperor : may that prince be blessed, and may all those who do not obey him die and be destroyedù.""",,,
86,1,PART 1,8,87,Rewards bestowed on his Soldiers,"Those who hold these documents enjoy certain privileges, with written instructions how they are to exercise their authority.",,,
87,1,PART 1,8,88,Rewards bestowed on his Soldiers,"He who commands 100,000 men receives a golden one, weighing 300 saggi, under which is sculptured a lion on one side, and on the other the sun and moon.",,,
88,1,PART 1,8,89,Rewards bestowed on his Soldiers,"Those who bear these noble tablets have instructions, that whenever they ride they should bear above their head an umbrella of gold, and as often as they are seated, it should be upon silver.",,,
89,1,PART 1,8,90,Rewards bestowed on his Soldiers,"There are also tablets whereon is sculptured a gerfalcon, which he gives to three great barons, who have then equal authority with himself.",,,
90,1,PART 1,8,91,Rewards bestowed on his Soldiers,"They can take, whenever they please, and lead from place to place, the troops and horses of any prince or king; ",,,
91,1,PART 1,8,92,Rewards bestowed on his Soldiers,"and whoever dares to disobey in any thing their will and mandate, must die as a rebel to the sovereign.",,,
92,1,PART 1,8,93,Rewards bestowed on his Soldiers,Now let us speak of the outward form and manners of this mighty prince.,,,
93,1,PART 1,9,94,"The Person of Kublai-His Wives, Concubines, and Sons","The great khan, lord of lords, named Kublai, is of a fine middle size, neither too tall nor too short; ","khan,Kublai",,
94,1,PART 1,9,95,"The Person of Kublai-His Wives, Concubines, and Sons","he has a beautiful fresh complexion, and well-proportioned limbs.",,,
95,1,PART 1,9,96,"The Person of Kublai-His Wives, Concubines, and Sons","His colour is fair and vermeil like the rose, his eyes dark and fine, his nose well formed and placed.",,,
96,1,PART 1,9,97,"The Person of Kublai-His Wives, Concubines, and Sons","He has four ladies, who always rank as his wives ; ",,,
97,1,PART 1,9,98,"The Person of Kublai-His Wives, Concubines, and Sons","and the eldest son, born to him by one of them, succeeds as the rightful heir of the empire.",,,
98,1,PART 1,9,99,"The Person of Kublai-His Wives, Concubines, and Sons",They are named empresses ; ,,,
99,1,PART 1,9,100,"The Person of Kublai-His Wives, Concubines, and Sons","each bears his name, and holds a court of her own; ",,,
100,1,PART 1,9,101,"The Person of Kublai-His Wives, Concubines, and Sons","there is not one who has not 300 beautiful maidens, with eunuchs, and many other male and female attendants, so that some of the courts of these ladies contain 10,000 persons; ",,,
101,1,PART 1,9,102,"The Person of Kublai-His Wives, Concubines, and Sons","and when he wishes to visit any one, he makes her come to his apartment, or sometimes goes to hers.",,,
102,1,PART 1,9,103,"The Person of Kublai-His Wives, Concubines, and Sons",He maintains also a number of concubines.,,,
103,1,PART 1,9,104,"The Person of Kublai-His Wives, Concubines, and Sons","There is a race of Tartars who are called Migrat or Ungrat,and are a very handsome people.",,,Tartars
104,1,PART 1,9,105,"The Person of Kublai-His Wives, Concubines, and Sons","From them are selected 100 girls,the most beautiful in all their country, who are conducted to court.",,,
105,1,PART 1,9,106,"The Person of Kublai-His Wives, Concubines, and Sons",He makes them be guarded by the ladies of the palace ; ,,,
106,1,PART 1,9,107,"The Person of Kublai-His Wives, Concubines, and Sons","and they are examined if they have a sweet breath, and be sound in all their limbs.",,,
107,1,PART 1,9,108,"The Person of Kublai-His Wives, Concubines, and Sons","Those that are approved in every respect wait upon their great lord in the following order: six of them attend every three days, then other six come in their place, and so on throughout the year.",,,
108,1,PART 1,9,109,"The Person of Kublai-His Wives, Concubines, and Sons","It may be asked, if the people of this province do not feel aggrieved by having their children thus forcibly taken away.",,,
109,1,PART 1,9,110,"The Person of Kublai-His Wives, Concubines, and Sons","Assuredly not: on the contrary, they regard it as a favour and an honour; ",,,
110,1,PART 1,9,111,"The Person of Kublai-His Wives, Concubines, and Sons",and the fathers feel highly gratified when their daughters are thus selected.,,,
111,1,PART 1,9,112,"The Person of Kublai-His Wives, Concubines, and Sons","If, says one, my daughter is born under an auspicious planet, his majesty can best fulfil her destiny by marrying her more nobly than I can do.",,,
112,1,PART 1,9,113,"The Person of Kublai-His Wives, Concubines, and Sons","On the contrary, if the young lady, by bad conduct or any misfortune, be found disqualified, he attributes the disappointment to her malignant stars.",,,
113,1,PART 1,9,114,"The Person of Kublai-His Wives, Concubines, and Sons","Know, too, that the great khan has by his wives twenty-two sons ; ",khan,,
114,1,PART 1,9,115,"The Person of Kublai-His Wives, Concubines, and Sons","the elder was named Gyngym Khan, and was to be lord of all the empire after his father ; ",Gyngym Khan,,
115,1,PART 1,9,116,"The Person of Kublai-His Wives, Concubines, and Sons","but he died, leaving a son named Temur, who in time will succeed ; ",Temur,,Temur
116,1,PART 1,9,117,"The Person of Kublai-His Wives, Concubines, and Sons","he is a wise and good man, tried in many battles.",,,
117,1,PART 1,9,118,"The Person of Kublai-His Wives, Concubines, and Sons",The monarch has also twenty-five sons by his concubines; ,,,
118,1,PART 1,9,119,"The Person of Kublai-His Wives, Concubines, and Sons",and each is a great baron; ,,,
119,1,PART 1,9,120,"The Person of Kublai-His Wives, Concubines, and Sons","and of the twenty-two sons by his four wives, seven reign over large kingdoms, like wise and good men, because they resemble their father,- and he is the best ruler of nations and conductor of wars in the world.",,,
120,1,PART 1,9,121,"The Person of Kublai-His Wives, Concubines, and Sons","Now Ihave told you about himself, his wives, sons, and concubines ;",,,
121,1,PART 1,9,122,"The Person of Kublai-His Wives, Concubines, and Sons", next I will relate how he holds his court.,,,
122,1,PART 1,10,123,His magnificent Palace in Kambalu,"He resides in the vast city of Kambalu, three months in the year, December, January, and February, and has here his great palace, which I will now describe.",,Kambalu,Kambalu
123,1,PART 1,10,124,His magnificent Palace in Kambalu,"It is a complete square, a mile long on every side, so that the whole is four miles in circuit ; ",,,
124,1,PART 1,10,125,His magnificent Palace in Kambalu,"and in each angle is a very fine edifice, containing bows, arrows, cords, saddles, bridles, and all other implements of war.",,,
125,1,PART 1,10,126,His magnificent Palace in Kambalu,"In the middle of the wall between these four edifices are others, making altogether eight, filled with stores, and each containing only a single article.",,,
126,1,PART 1,10,127,His magnificent Palace in Kambalu,"Towards the south are five gates, the middle one very large, never opened nor shut unless when the great khan is to pass through ; ",khan,,
127,1,PART 1,10,128,His magnificent Palace in Kambalu,while on the other side is one by which all enter in common.,,,
128,1,PART 1,10,129,His magnificent Palace in Kambalu,"Within that wall is another, containing eight edifices similarly constructed ; ",,,
129,1,PART 1,10,130,His magnificent Palace in Kambalu,in which is lodged the wardrobe of the sovereign.,,,
130,1,PART 1,10,131,His magnificent Palace in Kambalu,"These walls enclose the palace of that mighty lord, which is the greatest that ever was seen.",,,
131,1,PART 1,10,132,His magnificent Palace in Kambalu,"The floor rises ten palms above the ground, and the roof is exceedingly lofty.",,,
132,1,PART 1,10,133,His magnificent Palace in Kambalu,"The walls of the chambers and stairs are all covered with gold and silver, and adorned with pictures of dragons, horses, and other races of animals.",,,
133,1,PART 1,10,134,His magnificent Palace in Kambalu,The hall is so spacious that 6000 can sit down to banquet ; ,,,
134,1,PART 1,10,135,His magnificent Palace in Kambalu,and the numberof apartmentais incredible.,,,
135,1,PART 1,10,136,His magnificent Palace in Kambalu,"The roof is externally painted with red, blue, green, and other colours, and is so varnished that it shines like crystal, and is seen to a great distance around.",,,
136,1,PART 1,10,137,His magnificent Palace in Kambalu,It is also very strongly and durably built.,,,
137,1,PART 1,10,138,His magnificent Palace in Kambalu,"Between the walls are pleasant meadows filled with various living creatures, as white stags, the musk animal, deer, wild goats, ermines, and other beautiful creatures.",,,
138,1,PART 1,10,139,His magnificent Palace in Kambalu,"The whole enclosure is full of animals, except the path by which men pass.",,,
139,1,PART 1,10,140,His magnificent Palace in Kambalu,"On the other side, towards the south, is a magnificent lake, whither many kinds of fish are brought and nourished.",,,
140,1,PART 1,10,141,His magnificent Palace in Kambalu,A river enters and flows out ; ,,,
141,1,PART 1,10,142,His magnificent Palace in Kambalu,but the fish are retained by iron gratings.,,,
142,1,PART 1,10,143,His magnificent Palace in Kambalu,"Towards the north, about a bowshot from the palace, Kublai has constructed a mound, full a hundred paces high and a mile in circuit, all covered with evergreen trees which never shed their leaves.",Kublai,,
143,1,PART 1,10,144,His magnificent Palace in Kambalu,"When he hears of a beautiful tree, he causes it to be dug up, with all the roots and the earth round it, and to be conveyed to him on the backs of elephants, whence the eminence has been made verdant all over, and is called the green mountain.",,,
144,1,PART 1,10,145,His magnificent Palace in Kambalu,"On the top is a palace, also covered with verdure ; ",,,
145,1,PART 1,10,146,His magnificent Palace in Kambalu,it and the trees are so lovely that all who look upon them feel delight and joy.,,,
146,1,PART 1,10,147,His magnificent Palace in Kambalu,"In the vicinity is another palace, where resides the grandson of the great khan, Temur, who is to reign after him, and who follows the same life and customs as his grandsire.","khan,Temur",,Temur
147,1,PART 1,10,148,His magnificent Palace in Kambalu,He has already a golden bull and the imperial seal ;,,,
148,1,PART 1,10,149,His magnificent Palace in Kambalu, but he has no authority while his grandfather lives.,,,
149,1,PART 1,11,150,Description of the City of Kambalu,"Having described to you the palaces, I will tell you of the great city of Cathay, which contains them.",,Cathay,Cathay
150,1,PART 1,11,151,Description of the City of Kambalu,"Near it is another large and splendid one, also named Kambalu, which means in our language city of the lord; ",, Kambalu,Kambalu
151,1,PART 1,11,152,Description of the City of Kambalu,"but the monarch, finding by astrology that this town would rebel, built another near it, divided only by a river, and bearing the same name, to which its inhabitants were compelled to remove.",,,
152,1,PART 1,11,153,Description of the City of Kambalu,"It forms a regular square, six miles on each side, and thus twenty-four miles in circumference.",,,
153,1,PART 1,11,154,Description of the City of Kambalu,"It is surrounded by walls of earth, ten paces thick and twenty in height; yet the upper part becomes gradually thinner, so that at top the breadth is only three paces.",,,
154,1,PART 1,11,155,Description of the City of Kambalu,"There are twelve gates, each containing an edifice, making one in each square of that wall, and filled with men, who guard the place.",,,
155,1,PART 1,11,156,Description of the City of Kambalu,The streets are so broad and so straight that from one gate another is visible.,,,
156,1,PART 1,11,157,Description of the City of Kambalu,"It contains many beautiful houses and palaces, and a very large one in the midst, containing a steeple with a large bell, which at night sounds three times ; ",,,
157,1,PART 1,11,158,Description of the City of Kambalu,"after which no man must leave the city without some urgent necessity, as of sickness, or a woman about to beara child.",,,
158,1,PART 1,11,159,Description of the City of Kambalu,"At each gate a thousand men keep guard, not from dread of any enemy, but in reverence of the monarch who dwells within it, and to prevent injury by robbers.",,,
159,1,PART 1,12,160,The Suburbs-Merchants,"When the monarch comes to his chief city, he remains in his noble palace three days and no more, when he holds a great court, making high festival and rejoicing with his ladies.",,,
160,1,PART 1,12,161,The Suburbs-Merchants,"There is a vast abundance of people through all the suburbs of Kambalu, which are twelve in number, one corresponding to each gate ; ",,Kambalu,Kambalu
161,1,PART 1,12,162,The Suburbs-Merchants,no one can count the number of residents ; ,,,
162,1,PART 1,12,163,The Suburbs-Merchants,"and they contain as stately edifices as any in the city, except the king's Palace.",,,
163,1,PART 1,12,164,The Suburbs-Merchants,No one is allowed to be buried within the city ; ,,,
164,1,PART 1,12,165,The Suburbs-Merchants,"and no females of bad character can reside there, but must have their dwellings in the suburbs, where there are said to be no fewer than 20,000.",,,
165,1,PART 1,12,166,The Suburbs-Merchants,"There are brought also to Kambalu the most costly articles in the world, the finest productions of India, as precious stones and pearls, with all the produce of Cathay and the surrounding countries, in order to supply the lords and the barons and ladies who reside there.",,"Kambalu,India,Cathay","Kambalu,India,Cathay"
166,1,PART 1,12,167,The Suburbs-Merchants,"Numerous merchants, likewise, bring more than a thousand wagons laden with grain; ",,,
167,1,PART 1,12,168,The Suburbs-Merchants,and all who are within a hundred miles of the city come thither to purchase what they want.,,,
168,1,PART 1,13,169,Wicked Administration of Achmac-Insurrection,"I will hereafter particularly mention a council of twelve persons, having power to dispose at will of the lands, governments, and all things belonging to the state.",,,
169,1,PART 1,13,170,Wicked Administration of Achmac-Insurrection,"One of these, a Saracen, named Achmac, had acquired an extraordinary influence with the great khan ; ","Achmac,khan",,Achmac
170,1,PART 1,13,171,Wicked Administration of Achmac-Insurrection,indeed his master was so infatuated with him that he allowed him the most uncontrolled license.,,,
171,1,PART 1,13,172,Wicked Administration of Achmac-Insurrection,"It was even discovered after his death that he had employed spells to fascinate the khan, and compel him to give full credit to what was told him by his favourite, who was thus enabled to conduct public affairs according to his pleasure.",khan,,
172,1,PART 1,13,173,Wicked Administration of Achmac-Insurrection,"He disposed of all the commands and public offices; passed sentence upon offenders; and when desirous to inflict an injury on any one whom he hated, needed only to go to the emperor and say, ""such a man has been guilty of an offence against your majesty, and deserves death.""",,,
173,1,PART 1,13,174,Wicked Administration of Achmac-Insurrection,"The monarch usually replied, do as you judge best, and Achmac then ordered him to be immediately executed.",Achmac,,Achmac
174,1,PART 1,13,175,Wicked Administration of Achmac-Insurrection,"So manifest were the proofs of his influence, and of the sovereign's implicit reliance on his statements, that no one dared to contradict him on any occasion ; ",,,
175,1,PART 1,13,176,Wicked Administration of Achmac-Insurrection,even those highest in office stood in awe of him.,,,
176,1,PART 1,13,177,Wicked Administration of Achmac-Insurrection,"Any one charged by him with a capital offence, whatever means he might employ to justify himself and refute the accusation, could not find an advocate ; ",,,
177,1,PART 1,13,178,Wicked Administration of Achmac-Insurrection,for none dared to oppose the purpose of Achmac.,Achmac,,Achmac
178,1,PART 1,13,179,Wicked Administration of Achmac-Insurrection,"Thus  he caused unjustly the death of many, and was also enabled to indulge his unlawful propensities.",,,
