Entity Name,Type,Page No
ABASCIA (Abyssinia),kingdom of,324
ABASCIA (Abyssinia),The inhibitants convertedby St Thomas,325
ABASCIA (Abyssinia),Its king defated the ruler of Adel (Aden),326
ABASCIA (Abyssinia),Productions of the country,327
ABASCIA (Abyssinia),"Abraiamain (Bramins), order of","293,304-308"
Achalech-Manji,province of,153
Achmae,"chief minister of Kublai,his wicked administration",120-124
Achmae,Is slain by Vanku and Chenku,122
Acomat,"the Saracen, contends for the Persian empire",339
Acomat,His batpers Argon,342
Acomat,Is seized and slain,344
Acre,a city of Palestine,"99, 100"
Adam's Peak,a mountain of Ceylon,290
Aden(Adel),a kingdom and city of Eastern Africa,325
Aden(Adel),Is invaded by the King of Absscia,326
Aden,a city and and kingdom of Arabia,327
Aden,"Inhabitated by Sarcens,ib",
Aden,"A great seat of Indian commerce, ib",
Aden,Its sultan assists Saladin in the siege of Acre,328
Alaodin,the old Man of the Mountain,227
Alaodin,His garden and castle,"227,228"
Alaodin,How he trained andemployed his assassins,228
Alaodin,His death,229
Alau,"or Hoolaku, ruler of Eastern Tartar, sends ambassadors to the great khan (Mangou)",97
Alau,"Makes war with Barka, whom he defeats","96, 352-355"
Alau,Captures Bagdad and subverts the caliphate,"87,96,97, 210"
Alau,Takes and puts to death the Old Man of the Mountain,229
Alau,Is succeeded by Abaga,338
Altai Mountains,where Gengis and his descendants are interred,"257,263"
Amu (Bamoo),province of,170
Angaman (Andaman) Islands,,"288,289"
Ararat,a celebrated mountain of Armenia,207
Argiron(Erzeroum),a city of Armenia,207
Argon,lord of the East,103
Argon,His battle with Barak,338
Argon,Contends with Acomat for the Persian empire,339
Argon,Is defeated and taken prisoner,343
Argon,His rescue and death,"344, 345"
Armenia the Greater,,"206, 207"
Armenia the Lesser,,205
Armenia the Lesser,"Is subject to the Tartars, ib",
Arzinga,a city of Armenia the Greater,206
Ascelin,"or Anselm, a Dominican friar, his mission to the Tartars, then encamped in Perna",60
Ascelin,Reception by Balothnoy the Tartar chief,61
Ascelin,His dismissal,63
Ascelin,Astrlogers and soothsayer,143
Baatau,a Tartar chief,"47, 64"
Baatau,His court,71
Badascia (Badakshan),province of,"18, 232"
Badascia (Badakshan),Abounds in precious stones,"233, 234"
Badascia (Badakshan),Its chiefs descended from Alexander the Great,233
Badascia (Badakshan),Lapis lazuli mines,234
Bagdad,See Baldach,
Baiothony,a Tartar chief,61
Baiothony,His letter sent by Ascelin to the Pope,64
Baksi,"priests of Boodh, their enchantnments and idol worship","135,136"
Baku,"a city of Persia, abounds in naphtha","207, 216"
Baldach (Bagdad),"city of, its capture by Hooklau","97,210"
Baldach (Bagdad),Its rich clothes and great wealth,210
Baldach (Bagdad),Treasures of its caliph,211
Balk(Balkh),city of,230
Balk(Balkh),"Its decay,ib",
Bangala(Bengal),province of,169
Bangu(Eastern Siberia),country of,263
Barka khan,,96
Barka khan,"Defeated by Alau,ib",
Barons,"twelve great, appointed by Kublai, governors of provinces",138
Bascra (Bussora),city of,210
Bayam,"Kublai’s general, conquers King Facfur",177
Bayam,Captures Cinghin-gui,185
Belor (Beloor),a mountain range,239
Bokhara,city of,97
Boni,"Count Baldelli, editor of two Italian versions of the Travels","22, 28, 30, 31, 36, 124, 131, 138,219"
Boodhism in Central Asia,,247
Boodhism in Central Asia,Extensively diffused through Japan,275
British Museum,MSS,
British Museum,of the Travels in,"26, 37"
Brius river,,158
Bulgaria,a country on the Volga,96
Burnes,Sir Alexander,"21, 249"
Ca-cian-fu (Tong-tcheou),city of,152
Ca-cian-fu (Ho-kien-fou),a city of cathay,173
Cai-gui(Qua-tcheou),city of,184
Cali or Kael,a city of Southern India,308
Cali or Kael,"The, king possesses great treasures,ib",
Calacian,"a city of Tangut, Central Asia",266
Calatu (Kalhat),a city at the entrance of the Persian Gulf,331
Camandu,a city of Persia,220
Camabaia(Cambay),a kingdom of Western India,316
Can-giu (Kiang-chan-fui),city of,199
Canpicion (Kan-tcheou),capital of the province of Tangut,252
Caraian,province of,159
Carpini,"a Franciscan friar, his mission to Cuyné (Kuyuk) Khan",49
Carpini,Reaches Kiev,51
Carpini,Arrives at a Tartar court,52
Carpini,His reception at the court of Cuyné,55-58
Carpini,Departure and return,60
Casan or Ghazan,his contest with Baidu,346
Casan or Ghazan,Assumed the sovereignty of Persia,347
Cascar (Cashgar),province and city of,"18, 239, 240"
Cathay or Kataia,northern China,"120, 122, 143, 148"
Cathay or Kataia,City of Cathay or Kambalu (Pe-king),129
Caya-fu,a famous castle,149
Chandu,a city of Tartary,268
Charlemagne,in his reign Germany emerged from barbarian,42
Chaym(Kao-yeou),a large city,180
Chen-gui (Yen-tcheou-fou),city of,199
China,its greatness and civilisation,21
China,Religion and Customs of the Chinese,145
Chinese empire,unknown to Europeans before Polo’s travels,"17, 18"
Chinese navigation to India,,270
Chisi (Kishm),an island in the Persian Gulf,"210, 217"
Ciagatai or Zagatai,one of the sons Gengis,221
Ciagatai or Zagatai,Becomes a convert to Christianity,"240, 241"
Cianba (Tsiompa),a country between Cochin China and Camboia,227
Cianba (Tsiompa),"Kublai sends an expediction thither, ib",
Cian-cian (Kiu-tcheou),a town on @ mountain,199
Cianganor,imperial palace at,"136,238"
Cian-gli (Te-tcheou),city of,174
Cian-glu (Tsan-tcheou),city of,173
Ciarcian (Karashehr),a province of Tartary,244
Cin-ghian-fu(Tchin-kiang-fou),city of,176
Cin-ghian-fu(Tchin-kiang-fou),Another city of same name,180
Clemenfu (Tai-yuen-fou),a rich and powerful city,101
Clement IV.,"Pope, death of",99
Cobi or Shamo,great desert of,"245, 246"
Cobinam (Khubees),city of,226
Coilac,city of,"73,74"
Coilon,a kingdom of India,309-311
Comari,a country of Sourthen India around Cape	Comorin,311
Conci,king of Touran,347
Condi-fu (Tsi-nan-fou),city of,174
Cormos (Ormus),a city and island in the Persian Gulf,"223, 332"
Cormos (Ormus),A great emporium of Indian commerce,223
Cormos (Ormus),Extreme violence of the heat,224
Cormos (Ormus),Invaded by the King of Creman (Carmania),225
Corvino,"a Minorite friar,created Archbishop of Kambalu",34
Cotan (Khoten),province of,242
Couriers of the great khan,,139
Creman(Carmania),kingdom of,219
Creman(Carmania),"Its productions and manufactures, ib",
Creman(Carmania),City of Creman (Kerman),"219,220"
Crusca MS. of the Travels,,36
Cun-chin,province of,153
Cuyné(Kuynuk),khan,54
Cuyné(Kuynuk),Elected Emperor,56
Cuyné(Kuynuk),His letter to the pope,59
Cuyné(Kuynuk),His death,64
Cyn-gui,province of,171
Dandolo,"Andrea, Doge of Venice",89
Dandolo,His fleet defeated by the Genoese,92
De Guignes,,124
Dogs,hunting,130
Dominican friars; their mission to Persia,,49
Dominican friars; their mission to Persia,Commence their journey,60
Dominican friars; their mission to Persia,Their reception by Baiothnoy,"62; and dismissal, 63"
Dor,"king, story respecting",149
Dor,Carried a prisoner to Prester John,150
Dor,Is restored to his kingdom,151
Dufar or Dofar,a seaport of Arabia,330
Du Halde’s estimate of the revenues of China,,21
Egrigaia (Ninghia),a province of Tangut,266
Eighurs,a Turkish tribe,"45,115, 247"
Elephants,used in hunting excursions,132
Eli or Dely,a kingdom of India,311
Erginul,a kingdom and city of Tangut,264
Escier (Shaher),a city of Arabia,329
Euphrates river,,208
Europeans,excluded from China and the interior regions of Asia,16
Ezina,a city of Tangut,253
Facfur,king of Manji or Southern China,177
Facfur,"Conquered by Kublai, ib",
Facfur,Bounty to his subjects,178
Falconry in China,,131
Festivals,magnificence of Tartar and Chinese,125-128
Fire worshippers (Guebres) in Persia,,216
Fo-kien,"province of, uncivilized tribes in",200
Frampton,"John, his English translation of Marea Polo",38
French Geographical Society,editions of the Travels published by,27
Fu-gui or Concha,kingdom of,200
Fu-gui or Concha,"The capital, Fu-gui (Fou-tcheou-fou), a place of extensive trade",201
Gan-fu (Ning-po),a fine seaport and chief seat of foreign trade,189
Gaui or Pariahs of Southern India,,297
Gengis,the first khan of the Tartars,254
Gengis,His battle with Prester John (Unchan or Ouang),"45, 255, 256"
Gengis,His conquests,"46, and death, ib,256"
Gengis,His successors,257
Geographical Society of Paris,editions of Marco Polo published by,27
Geographical Society of Paris,"Superiority to previous ones,ib",
Geo-gui or Gin-gui(Tso-tcheou),city of,"148, 172"
Georgia,"kingdom of, subject to the Tartars",207
Georgia,Account of its people and productions,208
Ginghintalas (Barkoul),a province of Tangut,250
Golconda,"in India, diamond mines of","301, 302"
Gozurat,"a kingdom of India, infamous for pirates","313, 314"
Great wall of China,,23
Gregory X.,Pope,100
Hoang-ho,a river of China,18
Hoang-ho,See Kara-moran,
Hoolaku,-See Alau,
Horsburgh,"Mr, on the navigation of the Indian Ocean",281
Huns invade Europe,,43
Iconium,capital of Asia Minor,83
Innocent IV.,"Pope, his letter to the Khan of the Tartars",49
Islands of the Oriental Archipelago,,"275, 276"
Ismalies or Assassins,—See Alaodin,
Japan,expedition of Kublai against,18
Japan,-See Zipangu,
Java,island of,"104, 278"
Java,Little (Sumatra),281
Java,Kingdoms of,282-288
Jomard,M.,31
Kaidu,a powerful chief of Turkestan,333
Kaidu,Rebels against Kublai,"108,111"
Kaidu,"His battles, and invasion of",
Kaidu,Karakorum,"334, 335"
Kaidu,His death,336
Kaidu,Exploits of his daughter Aigiarm,336-338
Kain-du,province of,157
Kambalu (Pe-king),capital of China,"111, 112"
Kambalu (Pe-king),Description of the palace,117
Kambalu (Pe-king),of the city,118
Kambalu (Pe-king),Its suburbs,119
Kambalu (Pe-king),Astrologers in,143
Kamul (Khamil or Hamil),city and province of,248
Kangigu,province of,169
Karakorum,capital of the Mongols,"44,78,253"
Karamoran (Hoang-ho),a great river of China,"151, 176, 179"
Karazan,province and city of,160
Karazan,Its great snakes and serpents,161
Karazan,Wicked custom of the inhabitants,162
Kardandan,province of,162
Kardandan,Magicians,"163, 164"
Kataia.,—See Cathay,
Kesimur (Cashmere),a province of Northern India,236
Kesmacoran (Mekran),a kingdom to the west of the Indus,316
Khoten,a city of Turkestan,18
Kiev,the ancient capital of Russia,51
Kin-sai or Quin-sai (Hang-tcheou-fou),capital of Manji,"177,187"
Kin-sai or Quin-sai (Hang-tcheou-fou),Its extent and population,"187,188"
Kin-sai or Quin-sai (Hang-tcheou-fou),Lake,"188, 194"
Kin-sai or Quin-sai (Hang-tcheou-fou),Baths,"189, 193"
Kin-sai or Quin-sai (Hang-tcheou-fou),Palaces,"188, 190, 195"
Kin-sai or Quin-sai (Hang-tcheou-fou),Squares and market - places,191
Kin-sai or Quin-sai (Hang-tcheou-fou),"Houses, ib",
Kin-sai or Quin-sai (Hang-tcheou-fou),Revenues,197
Kirghiz-tribe,roam over the wilds of Tartary,238
Kiaproth,M.,"31,34"
Kogatai,a Tartar officer,122
Koi-gan-zu (Hoai-ngan-fou),a city Manji,179
Kotou,or ceremony of prostration,128
Kublai Khan,makes the conquest of China,67
Kublai Khan,His reception of Nicolo snd Maffio Polo,98
Kublai Khan,His Power and magnificence,107
Kublai Khan,War with Nayan and Kaidu,108.110
Kublai Khan,Favour for the Christians,112
Kublai Khan,Opinions of the Christian Religion,"112, 113"
Kublai Khan,Rewards to his soldiers,114
Kublai Khan,"His person, wives,&c",
Kublai Khan,,115
Kublai Khan,Guards,124
Kublai Khan,Magnificence of his festivals,125
Kublai Khan,Hunting expeditions,"129, 130"
Kublai Khan,Number and extent of his tents,132
Kublai Khan,His wealth,137
Kublai Khan,His governors of provinces,138
Kublai Khan,Couriers,139
Kublai Khan,Bounty to his subjects,141
Kublai Khan,His death,106
Kurds,inhabitants of the mountains of Mosul,210
Kuyuk Khan,-See Cuyné,
Laias (Aias),a city of Armenia the Lesser,"99,101,206"
Lar,a provinee of India,304
Lin-gui,city of,175
Lions,trained to hunt,130
Litan rebels against Kublai,and is slain,"174, 175"
Lochac (Camaboia),province of,279
Lop,"city, desert, and lake of",245
Louis,"St, king of France, receives an embassy from the Tartars",65
Louis,Sends William de Rubruquis on a mission,66
Maabar,"a province in the south of India, The gulf between it and Ceylon, rich in pearls","293,294"
Maabar,Its Hindoo customs and superstitions,"294, 297"
Maabar,Manners and social condition of the inhabitants,298-301
Madagascar,first mentioned by Polo,19
Madagascar,The rukh a bird of,22
Madagascar,The island described,"320, 321"
Mailla’s translation of the Chinese History,,124
Malacca,peninsula of,280
Male and Female,islands so called,317
Mangalu,son of Kublai,152
Mangou,grandson of Gengis,47
Mangou,Chosen great Khan,64
Mangou,His reception of Rubruquis,"76, 81"
Mangou,Superstitions of his court,78
Mangou,Desolates Thibet,155
Manji,great province of,"148, 177"
Manji,Conquered by Bayam,187
Manji,Consists of nine kingdoms,189
Manji,"Its riches, ib",
Manji,Astrologers,190
Manji,"Customs, ib",
Marsden,"Mr, passim",
Martini,his description of the Chinese empire,"16, 23"
Masulipatam,a provines of India,301
Melibar (Malabar),a kingdom of Southern India,312
Mien,"king of, defeated by the Tartars",165-167
Mien,Province and city of Mien,167-169
Money of the great khan,,"137, 138"
Mongol Emperors,invite foreigners to their courts,34
Mongols,in Central and Eastern Asia,42
Mongols,Invade Europe under Attila,43
Mosul,Kingdom of,207
Mosul,Inhabited by various races,209
Mosul,"An emporium for the commerce of CentralAsia, ib",
Musk,animal described,265
Nan-ghin (Nan-King),great city of,181
Nayan,his rebellion against Kublai,108
Nayan,His defeat and death,"110,111"
Necuveran (Nicobar) Islands,,288
Nescardin,"Kublai’s general, defeats the King of Mien",165
Nestorian Christians and Jacobites,,"76, 77, 160, 209, 210, 213, 239,242,247"
Nogodar,king of Reobarle,221
Nogodar,"His predatory expedition, and invasion of India",222
Okkoday Khan,his invasion of Europe,47
Okkoday Khan,His death,48
Old Man of the Mountain,See Alaodin,
Ouang Khan,or Prester John,44
Ouang Khan,His death,45
Oxus river,,238
Pamier (Pamir),a lofty table-land,237-239
Parris,"M., editor of the French Chronicles",28
Pascia (Peshawer),province of,235
Pau-chym (Pao-yug-shien),city of,179
Pein (Bai),province of,243
Pe-king,city of,119
Pe-king,See Kambalu,
Pentam (Bintang),an island in the Straits of Malacca,280
Persia,province of,215
Persia,Number of kingdoms in,217
Persia,"Excellence of its horses,ib",
Pi-an-fu(Pin-yang-fou),city of,149
Pin-gui (Pi-tcheou),city of,176
Pipino,his Latin translation of the Travels,"26, 37"
Polo,"Nicolo and Maffio, their long residence in China",90
Polo,Journey into the East and reception by Barka Khan,96
Polo,Arrival at the court of Kublai,98
an soe the Pope,ib,
an soe the Pope,Their arrival at Venice,99
an soe the Pope,Return to China,100
an soe the Pope,Final departure and arrival at Venice,104-106
Polo,"Marco, travels of, authenticity of the work",14
Polo,General correctness of the narrative,"17-19, confirmed by recent travellers, 25"
Polo,Observations on the manuscripts and editionsof,25-40
Polo,The author taken prisoner by the Genoese,92
Regains his liberty,,93
Regains his liberty,Accompanies his father and uncle to China,147
Regains his liberty,Is governor of Yan-gui(Yang-tcheou-fou),181
Pope of Rome,his paramount inluence in Europe,"48, 49"
Prester John,—See Ouang Khan,
Pulisangan river,,147
Purchas in his Pilgrims uses Ramusio's edition of Marco Polo's Travels,,26
Que-lin-fu (Kien-ning-fou),city of,201
Quen-gian-fu (Si-ngan-fou),city of,152
Quin-sai,city of,"21,22"
Quin-sai,—See Kinsai,
Ramusio’s collection of Voyages and Travels,,"26,31"
Ramusio’s collection of Voyages and Travels,Followed by Marsden,31
Ramusio’s collection of Voyages and Travels,Interpolated passages,"32-35,105,135"
Reobarle,a province of Persia,220
Reobarle,Its people and productions,"220, 221"
Rhinoceros of Sumatra,,283
Rubruquis,"William de, his mission to the Tartars",66
Rubruquis,"Journey through the Crimea, ib",
Rubruquis,"Visit to Scacatai,a Tartar chief",68
Rubruquis,His description of Comania and Russia,"68, 69"
Rubruquis,Arrival at the camp of Sartach,69
Rubruquis,Proceeds to the court of  Baatu,71
Rubruquis,Journey through Tartary,"72, 73-75"
Rubruquis,"Arrival at the court, and audience of the great khan",75
Rubruquis,Conference with the imperial secretaries,80
Rubruquis,His departure,82
Rubruquis,Journey homewards,"82, 83"
Russia,description of,350
Rusticians,the prison companion of Marco Polo,"28, 29, 32,92,96"
Sacchion (Cha-tcheou),city of,246
Sacchion (Cha-tcheou),"St Thomas, legends respecting","302,303"
Salt,mountains of,231
Samarcan (Samarcand),great and noble city of,"240,242"
Sapurgan(Shibbergaun) city of,,230
Saracens,their wicked principle,"124,212"
Saracens,Hatred of the Christians,"213,215"
Sartach,a Tartar chief,65
Sava,"the city of the three magi, in Persia",215
Sa-van-fu (Siang-yang-fou),city of,181
Scassem(Koondooz),province and city of,231
Scotra (Socotra) isle of,,318-320
Scythians,their early invasions of southern regions,"41,42"
Seilan (Ceylon),island of,289-293
Seilan (Ceylon),Abounds in precious stones,"289,290"
Seilan (Ceylon),Origin of Boodhism in,"290,291"
Semenat (Sumnaut),a kingdom of India,316
Sergamon Borcam,story of,"290,291,292"
Shamanism,sidely diffused through Eastern Asia,"73, 74, 86, 262"
Si-fan,a people of Thibet,157
Sin-din-fu(Tching-tou-fou) ,province and city of,"154,172"
Sin-gui(Tsi-ning-tcheou) city of,,175
Sin-gui,a city on the kiang(Yang-tse-kiang),183
Sin-gui (Sou-teheou-fou),a great and noble city,186
Sinugul (Soui-tcheou),city of,"171,172"
Sirocco,"or simoom of the East, fatal effects of",224
Sismondi,M.,21
Sondur and Condur (Pulo Condore,&c,
Sondur and Condur (Pulo Condore,"), islands on the coast of Camboia",279
Succiur (Sou-tcheou),a city in the north-west of China,251
Sumatra,island of,18
Sumatra,"See Java,Little",
Suttee,prevalence of in Malabar,297
Tai-kan(Khoolloom),castle of,231
Tai-in-fu (Tai-yuen-fou),kingdom and city of,148
Tam-pin-gui,city of,198
Tana (Bombay),a kingdom of India,315
Tangut,province of,"246, 247"
Tartars driven out of China,,16
Tartars driven out of China,Their invasions,"18, 42"
Tartars driven out of China,Conquests under Gengis and Okkoday,"46,47"
Tartars driven out of China,Government,83
Tartars driven out of China,Domestic condition,"84, 85"
Tartars driven out of China,"Religion, customs, and manners","86, 258-263"
Tartars driven out of China,Military system,"86, 87"
Tartars driven out of China,Computation of time,144
Tartars driven out of China,"Their wars, and the order of their armies",260-263
Tea,"not, mentioned expressly by name","23,143"
Teflis,a city of Armenia,209
Temugin,Khan of the Great Mongols,44
Temugin,Changes his name to Gengis,46
Temugin,—See Gengis,
Temur,grandson and successor of Kublai,"116, 118"
Tenduc,a province of Eastern Tartary,267
Tenduc,The chief seat of Prester John,268
Tenduc,"Called Gog and Magog,ib",
Tents of  the great khan,,132
Thibet,the chief seat of Boodhism,155-157
Tholoman (part of Yun-nan),province of,170
Ti-min-gui (King-te-ching),poreelain manufactures of,203
Tin-gui,city of,180
Toc-tai,his controversy with Nogai,"355, by whom he is defeated in a great battle, 358-360"
Tonocain (Daumghann),province of,"226,227"
Toris (Tauris or Tabreez),a celebrated city of Persia,211
Travellers,"early, their credulity",19
Turcomania,races of men inhabiting,206
Turcomania,"Subject to the Eastern Tartars,ib",
Turkestan,"a country of Central Asia, inhabited by Turks","42,333"
Ughim,city of,186
Un-gui(Kia-hing),city of,186
Un-quem(Ming-taing),city of,201
Ural river,,73
Venice,a powerful state,89
Vociam,city of,162
Vociam,Kingdom of,164
Vokhan (Wakhan),province of,237
Volga river,,"69,71"
Waldshut,battle of,47
Yaci(Chiaki),a city of Thibet,"159,160"
Yang-tse-kiang or Kiang,a great river of Chita,"18, 183"
Yan-gui (Yang-tcheou-fou),"city of, which Marco Polo governed",181
Yarcan(Yarcund) ,province of,242
Yarcund,city of,18
Yasdi (Yerd),a city of Persia,218
Zai-tun (Amoy),a noble port,202
Zanghibar (Zanguebar),a country on the eastern coast of Africa,322
Zipangu (Japan),"invasion of by Kublai, how frustrated","273, 274"
Zipangu (Japan),Idolatry and cruelty of the nuhabitants,275
